Word,Conc.M,Dom_Pos
fucking,3.43,Adjective
globular,3.43,Adjective
painful,3.43,Adjective
polycarbonate,3.43,Adjective
recordable,3.43,Adjective
shattering,3.43,Adjective
stocky,3.43,Adjective
unburied,3.43,Adjective
unicellular,3.43,Adjective
unpolished,3.43,Adjective
urban,3.43,Adjective
yellowing,3.43,Adjective
airtight,3.42,Adjective
bendy,3.42,Adjective
birthing,3.42,Adjective
blubbery,3.42,Adjective
fireproof,3.42,Adjective
humongous,3.42,Adjective
insurgent,3.42,Adjective
onscreen,3.42,Adjective
preteen,3.42,Adjective
reddish,3.42,Adjective
russet,3.42,Adjective
snowbound,3.42,Adjective
unlit,3.42,Adjective
unsheathed,3.42,Adjective
beige,3.41,Adjective
childproof,3.41,Adjective
chinless,3.41,Adjective
derelict,3.41,Adjective
forked,3.41,Adjective
inflexible,3.41,Adjective
malted,3.41,Adjective
moisturizing,3.41,Adjective
moonless,3.41,Adjective
orthodontic,3.41,Adjective
safe,3.41,Adjective
unchained,3.41,Adjective
uterine,3.41,Adjective
veiling,3.41,Adjective
geometric,3.4,Adjective
leathery,3.4,Adjective
magnetic,3.4,Adjective
shaky,3.4,Adjective
subterranean,3.4,Adjective
unburned,3.4,Adjective
unshackled,3.4,Adjective
binding,3.39,Adjective
electrical,3.39,Adjective
fungicidal,3.39,Adjective
grayish,3.39,Adjective
midsize,3.39,Adjective
nonalcoholic,3.39,Adjective
oscillating,3.39,Adjective
protestant,3.39,Adjective
shining,3.39,Adjective
venomous,3.39,Adjective
barrelful,3.38,Adjective
bespectacled,3.38,Adjective
colonialist,3.38,Adjective
deep,3.38,Adjective
deteriorating,3.38,Adjective
frontal,3.38,Adjective
hotter,3.38,Adjective
hydroelectric,3.38,Adjective
paler,3.38,Adjective
soundproof,3.38,Adjective
toasty,3.38,Adjective
cavernous,3.37,Adjective
curvaceous,3.37,Adjective
depository,3.37,Adjective
double,3.37,Adjective
drippy,3.37,Adjective
drooping,3.37,Adjective
gnarled,3.37,Adjective
heavy,3.37,Adjective
large,3.37,Adjective
misty,3.37,Adjective
outermost,3.37,Adjective
rectal,3.37,Adjective
refried,3.37,Adjective
unbroken,3.37,Adjective
upper,3.37,Adjective
bloated,3.36,Adjective
brassy,3.36,Adjective
buoyant,3.36,Adjective
chesty,3.36,Adjective
clearer,3.36,Adjective
creaking,3.36,Adjective
diseased,3.36,Adjective
electrostatic,3.36,Adjective
flowerless,3.36,Adjective
granular,3.36,Adjective
keyless,3.36,Adjective
mothproof,3.36,Adjective
tall,3.36,Adjective
tusked,3.36,Adjective
unfastened,3.36,Adjective
arthritic,3.35,Adjective
curved,3.35,Adjective
eroding,3.35,Adjective
fragrant,3.35,Adjective
jellylike,3.35,Adjective
raw,3.35,Adjective
seminarian,3.35,Adjective
sheer,3.35,Adjective
afloat,3.34,Adjective
infrared,3.34,Adjective
intravascular,3.34,Adjective
knotty,3.34,Adjective
low,3.34,Adjective
northernmost,3.34,Adjective
spotless,3.34,Adjective
undressed,3.34,Adjective
carpal,3.33,Adjective
confectionary,3.33,Adjective
convex,3.33,Adjective
curvy,3.33,Adjective
hydrogenated,3.33,Adjective
robotic,3.33,Adjective
roman,3.33,Adjective
shiny,3.33,Adjective
surplus,3.33,Adjective
undiluted,3.33,Adjective
unwrapped,3.33,Adjective
wintery,3.33,Adjective
active,3.32,Adjective
ashy,3.32,Adjective
awake,3.32,Adjective
beltless,3.32,Adjective
bended,3.32,Adjective
clitoral,3.32,Adjective
collegiate,3.32,Adjective
droopy,3.32,Adjective
manmade,3.32,Adjective
monosyllabic,3.32,Adjective
overheated,3.32,Adjective
photochemical,3.32,Adjective
prepubescent,3.32,Adjective
static,3.32,Adjective
twitchy,3.32,Adjective
unstrapped,3.32,Adjective
weightless,3.32,Adjective
wintry,3.32,Adjective
adjoined,3.31,Adjective
healthy,3.31,Adjective
juvenile,3.31,Adjective
perpendicular,3.31,Adjective
phallic,3.31,Adjective
physical,3.31,Adjective
seasoned,3.31,Adjective
solitary,3.31,Adjective
sparkling,3.31,Adjective
spicy,3.31,Adjective
swell,3.31,Adjective
unleavened,3.31,Adjective
unmarked,3.31,Adjective
unripe,3.31,Adjective
upturned,3.31,Adjective
anal,3.3,Adjective
corrosive,3.3,Adjective
drunken,3.3,Adjective
electronic,3.3,Adjective
flabby,3.3,Adjective
glittery,3.3,Adjective
gripping,3.3,Adjective
multinational,3.3,Adjective
outstretched,3.3,Adjective
plushy,3.3,Adjective
puffing,3.3,Adjective
ripe,3.3,Adjective
telescopic,3.3,Adjective
untangled,3.3,Adjective
windswept,3.3,Adjective
agricultural,3.29,Adjective
balder,3.29,Adjective
boney,3.29,Adjective
composite,3.29,Adjective
membranous,3.29,Adjective
retinal,3.29,Adjective
sharper,3.29,Adjective
stainless,3.29,Adjective
unopened,3.29,Adjective
viscous,3.29,Adjective
warmer,3.29,Adjective
acoustic,3.28,Adjective
adrenal,3.28,Adjective
bilingual,3.28,Adjective
cardiopulmonary,3.28,Adjective
cloaking,3.28,Adjective
colder,3.28,Adjective
crowded,3.28,Adjective
decaying,3.28,Adjective
frigid,3.28,Adjective
geologic,3.28,Adjective
misfile,3.28,Adjective
muggy,3.28,Adjective
overgrown,3.28,Adjective
pearly,3.28,Adjective
periodontal,3.28,Adjective
slow,3.28,Adjective
soggy,3.28,Adjective
unhygienic,3.28,Adjective
weekly,3.28,Adjective
adjustable,3.27,Adjective
ajar,3.27,Adjective
deaf,3.27,Adjective
intertwining,3.27,Adjective
larval,3.27,Adjective
mammalian,3.27,Adjective
menstrual,3.27,Adjective
nonslip,3.27,Adjective
odorous,3.27,Adjective
overlapping,3.27,Adjective
saltier,3.27,Adjective
single,3.27,Adjective
slobbery,3.27,Adjective
starlit,3.27,Adjective
suburban,3.27,Adjective
whitish,3.27,Adjective
lipless,3.26,Adjective
malnourished,3.26,Adjective
microbial,3.26,Adjective
monochromatic,3.26,Adjective
moped,3.26,Adjective
multiple,3.26,Adjective
reburial,3.26,Adjective
slimy,3.26,Adjective
smudgy,3.26,Adjective
uncrushed,3.26,Adjective
windblown,3.26,Adjective
arching,3.25,Adjective
bluer,3.25,Adjective
bridal,3.25,Adjective
coarse,3.25,Adjective
inverted,3.25,Adjective
multilayered,3.25,Adjective
ovarian,3.25,Adjective
phonographic,3.25,Adjective
respiratory,3.25,Adjective
separate,3.25,Adjective
southwestern,3.25,Adjective
stringed,3.25,Adjective
tropical,3.25,Adjective
uncapped,3.25,Adjective
undocked,3.25,Adjective
unsnapped,3.25,Adjective
whole,3.25,Adjective
bankrupt,3.24,Adjective
bounding,3.24,Adjective
breathy,3.24,Adjective
brownish,3.24,Adjective
commercial,3.24,Adjective
congested,3.24,Adjective
conical,3.24,Adjective
inanimate,3.24,Adjective
iridescent,3.24,Adjective
leaner,3.24,Adjective
lengthy,3.24,Adjective
mangy,3.24,Adjective
mute,3.24,Adjective
rubbery,3.24,Adjective
